id,links
F1,"UC1,UC24"
F2,"UC6,UC7,UC14"
F3,UC4
F4,"UC4,UC6,UC7,UC14"
F5,"UC2,UC4,UC7,UC14,UC15"
F6,"UC17,UC36,UC42"
F7,UC42
F8,UC42
F9,"UC2,UC4,UC7,UC15"
F10,"UC4,UC6,UC7,UC14"
F11,"UC2,UC4,UC6,UC7,UC14,UC15,UC16,UC25"
F12,"UC2,UC7,UC24,UC25,UC29,UC36"
F13,"UC6,UC7,UC14,UC31,UC32,UC33"
F14,"UC6,UC7,UC14,UC31,UC32,UC33"
F15,"UC24,UC29"
F16,"UC6,UC7,UC14,UC31,UC32,UC33"
F17,"UC24,UC25"
F18,"UC6,UC7,UC14,UC24"
F19,UC42
F20,UC27
F21,UC27
F22,"UC8,UC27"
F23,UC27
F24,UC8
F25,"UC8,UC18"
F26,"UC2,UC4,UC7,UC15,UC17,UC25"
F27,"UC2,UC19"
F28,"UC2,UC8,UC18,UC19,UC27"
F29,"UC2,UC16,UC17,UC19,UC25"
F30,"UC2,UC15"
F31,"UC15,UC16,UC25"
F32,UC24
F33,"UC1,UC35"
F34,"UC1,UC35"
F35,"UC36,UC40,UC42"
F36,"UC6,UC7,UC14,UC16,UC17,UC24,UC36,UC42"
F37,UC24
F38,"UC24,UC31,UC32,UC33"
F39,"UC7,UC24,UC31,UC32,UC33,UC40,UC42"
F40,"UC14,UC24,UC31,UC32,UC33"
F41,"UC31,UC32,UC33,UC36"
F42,"UC8,UC16,UC25,UC27"
F43,"UC6,UC7,UC14"
F44,"UC36,UC40,UC42"
F45,"UC1,UC35"
F46,"UC1,UC24"
F47,UC29
F48,"UC2,UC15,UC17"
F49,UC42
